file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0027,-246.1378021,-14.91834641,40.62764806,670.3155784,629.6879304,0.875031233,1.389626815,-25.83482361,4,monochromator,-70,0.717311748,0.817535126
2020_02_13_0028,-248.9486694,-19.05314827,40.16892327,524.847645,484.6787218,1.185925364,2.446827788,-19.97219658,4,control,-70,0.434322198,0.865003136
2020_02_13_0028,-238.5029449,-22.00861549,41.92820345,454.3675182,412.4393147,1.463849664,3.549248608,-19.55366898,4,control,-70,0.293344962,0.914501505
2020_02_13_0028,-246.4449921,-24.11251259,40.57700632,414.7224377,374.1454314,1.353298545,3.617038807,-18.93584442,4,control,-70,0.218613371,0.917545264
2020_02_13_0028,-232.6660004,-18.63960457,42.98006578,536.4920679,493.5120021,1.419836283,2.877004564,-20.26366997,4,control,-70,0.451560593,0.884317946
2020_02_13_0028,-230.2893677,-18.38062477,43.42362872,544.0511476,500.6275189,1.334258556,2.665172221,-21.41960144,4,control,-70,0.465446724,0.874806737
2020_02_13_0028,-230.5858307,-20.40729523,43.36779918,490.0208425,446.6530433,1.382274151,3.094738011,-19.53623009,4,control,-70,0.360114016,0.894094113
2020_02_13_0028,-231.5100708,-20.2488308,43.19466521,493.855675,450.6610098,1.316283703,2.920784524,-18.97819519,4,control,-70,0.367935676,0.886283653
2020_02_13_0028,-225.1624146,-18.77867889,44.4123857,532.518824,488.1064383,1.376720548,2.820533473,-19.95475769,4,control,-70,0.441011483,0.881782411
2020_02_13_0028,-230.5509491,-19.43300629,43.37436059,514.58842,471.2140594,1.39383328,2.957961996,-17.74005318,4,control,-70,0.40804553,0.887952911
2020_02_13_0028,-234.3251648,-18.70123482,42.67574082,534.7240488,492.048308,1.374549627,2.793525767,-18.23829842,4,control,-70,0.448704153,0.880569773
2020_02_13_0028,-230.1299286,-19.74971771,43.45371357,506.336351,462.8826374,1.393798113,3.011126364,-18.89349365,4,control,-70,0.391786526,0.890339975
2020_02_13_0028,-227.3646698,-18.57136536,43.98220712,538.4633713,494.4811642,1.412176967,2.855876156,-17.63043976,4,control,-70,0.45345194,0.883369287
2020_02_13_0028,-227.5415344,-18.22811699,43.94802041,548.6030184,504.654998,1.31846416,2.612604978,-17.81977272,4,control,-70,0.473306463,0.872446483
2020_02_13_0028,-226.198761,-15.98308563,44.20890705,625.6614167,581.4525096,1.350160956,2.322048549,-21.35981178,4,control,-70,0.623178967,0.859400585
2020_02_13_0029,-219.7444153,-12.19437599,45.50741363,820.0501614,774.5427477,1.341780066,1.73235121,-25.98311043,4,control,-70,1,0.832923349
2020_02_13_0029,-224.0793915,-19.92901802,44.62704015,501.78087,457.1538298,1.333749056,2.917506032,-27.99578285,4,monochromator,-70,0.380606596,0.88613645
2020_02_13_0029,-221.1199341,-22.32234192,45.22432607,447.9816695,402.7573434,1.133137226,2.813448953,-23.50895309,4,monochromator,-70,0.274450323,0.881464318
2020_02_13_0029,-219.4288177,-20.14904213,45.57286551,496.3015083,450.7286428,1.302091718,2.888859491,-19.46277046,4,monochromator,-70,0.368067663,0.884850229
2020_02_13_0029,-229.7571564,-32.71737289,43.52421556,305.6480125,262.123797,-4.408503532,-16.81840254,-19.26626587,4,monochromator,-70,0,0
